Source,Target,Tanimoto_Similarity,activity_abs_diff,cliff_strength_norm,is_cliff_strong
94,319,0.741935484,7.208953497000001,0.999999999999813,True
109,297,0.56,7.638884884,0.7997666619275227,True
109,304,0.6,6.6161969560000005,0.7421618910531099,True
38,297,0.56,6.684679134,0.6998456281636807,True
109,111,0.538461538,6.8361397120000005,0.6881731082582134,True
93,109,0.538461538,6.243778885000001,0.6285289546052625,True
54,110,0.6,5.565349285,0.6242607851767842,True
38,111,0.538461538,5.881933962,0.5920951912599487,True
109,227,0.466666667,6.767653285000001,0.5904202880635037,True
51,57,0.444444444,7.079874322,0.5882460389610135,True
127,215,0.52173913,5.960148836999999,0.5813332692953118,True
95,223,0.571428571,5.403828017,0.5772678127929547,True
92,95,0.527777778,5.833454629,0.575559812869046,True
38,304,0.538461538,5.661991206,0.5699493994793631,True
51,64,0.461538462,6.603656323,0.5697767837639235,True
94,223,0.558823529,5.366029746000001,0.5605808654132416,True
132,282,0.56,5.278835123,0.5526306413646325,True
125,131,0.5,5.800928484,0.5422181940466051,True
50,85,0.518518519,5.591101387,0.5419611467327663,True
44,51,0.444444444,6.4784297209999995,0.5382610069704922,True
50,91,0.583333333,4.9338381899999995,0.5380310385338833,True
38,93,0.538461538,5.2895731349999995,0.5324510376069976,True
76,282,0.538461538,5.175737293,0.5209890331293433,True
196,277,0.617647059,4.496302548000001,0.5191551082399171,True
45,55,0.538461538,5.1546583649999995,0.5188666192843246,True
