step,ID,marginal_score,U_rank,diversity_norm,region_bonus,is_new_region,reason
1,211,0.9999999999986414,0.9999999999986414,0.0,0.0,False,净收益最高
2,236,0.7684732807594137,0.8617033573702021,0.40580506534916944,1.0,True,覆盖新区域
3,318,0.7377384602795227,0.8682555187577696,0.267140596099444,1.0,True,覆盖新区域
4,68,0.7083874005420987,0.7549489118325662,0.421672213770236,1.0,True,覆盖新区域
5,257,0.7074287447384896,0.8802489579707874,0.11711747982406864,1.0,True,覆盖新区域
6,12,0.6915094552097238,0.8479241644484358,0.13101982616264948,1.0,True,覆盖新区域
7,244,0.6234286265639956,0.7355872693751083,0.12830505975572215,1.0,True,覆盖新区域
8,1,0.5902674699003909,0.9802518067911772,0.00846554330273845,0.0,False,高活性低敏感
